,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,0.0,0.0,4.440892098500626e-16,0.0,5.312791578326622e-197,0.1633204288590875,4.844152410085595e-197,0.00017767589090198722,0.0,0.0009073737173317185,0.009487612213570059,-12569.458866096784,0.0,0.0044937023325629525,1.888549130750138,5.210515594666918,-10.057155015369629,0.39798014844502744,-3.757638474889354,-10.26141663843662,-10.017890874602044,-1.0316223406365588,-2.8976079647360042,0.0,0.0,9.443824295479905e-202,-1.7104772997295132,-1.0,0.002455858171498898,0.0,0.0,0.0,-1.0,-3.0,2051.6356184951887,0.00025393961478059206
std,0.0,0.0,0.0,0.0,0.0,0.37480800260645747,0.0,0.0001698900452468299,0.0,0.0013038542226325857,0.012725579971992782,0.13910809183448886,0.0,0.007475134027973639,1.4549901409756552,7.502194366408457,0.13007883794716363,0.00026993299025945144,0.16110108461612035,0.20227702272791773,0.1832998442466437,1.5887485697856573e-05,0.2815108901653859,0.0,0.0,0.0,0.22769227545691106,0.0,1.6593720499371055e-14,0.0,0.0,0.0,0.0,0.0,178.5826264390223,0.0004348212689349099
worst,0.0,0.0,4.440892098500626e-16,0.0,2.5895405416612784e-195,2.3804846212790722,1.0276208990782483e-195,0.0007425848610626739,0.0,0.006775440608918518,0.054084964214665125,-12568.525724828936,0.0,0.022995271550921608,5.928845137651189,32.477823312256504,-9.534986899911662,0.3996022523095455,-3.0882928239668974,-9.454215288776235,-9.13808152479346,-1.0315394236911144,-1.594647994308556,0.0,0.0,4.14535922898139e-200,-1.0,-1.0,0.002455858171615033,0.0,0.0,0.0,-1.0,-3.0,2247.5,0.0018912637989566626
best,0.0,0.0,4.440892098500626e-16,0.0,9.617120547866114e-232,0.0003679700798966424,3.0340413462246216e-228,2.746997800681005e-07,0.0,7.039025404241358e-08,6.123182711789679e-08,-12569.486618173014,0.0,0.00034060241598514923,0.9980038378630398,3.0000000000004774,-10.153196714515547,0.3978873577334774,-3.8627564260782496,-10.402859349649354,-10.153198337309474,-1.0316284531818303,-3.2903017472805924,0.0,0.0,2.5049462205403684e-230,-1.8013034093854854,-1.0,0.0024558581714964056,0.0,0.0,0.0,-1.0,-3.0,1670.2982341774848,3.358383689289736e-07
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.23319582462310792,0.2343703603744507,0.24819693088531494,0.24172895908355713,0.23908592224121095,0.24268569946289062,0.2312174367904663,0.24726458072662352,0.23340679645538331,0.27619306087493894,0.27079999923706055,0.23520214080810548,0.23164206027984618,0.40691107273101806,0.4443975782394409,0.23242364406585694,0.25229180335998536,0.2233660888671875,0.25002939224243165,0.26355064868927003,0.2539324951171875,0.23090155124664308,0.25229684352874754,0.2495766830444336,0.23979626178741456,0.23731842041015624,0.23155927181243896,0.2299812364578247,0.22321251392364502,0.23541279315948485,0.2220528268814087,0.23666552543640137,0.22268319606781006,0.23669764995574952,0.2330275297164917,0.25398084640502927
