EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0.00E+00,1.82E-185,0.00E+00,1.41E-195,1.94E-01,0.00E+00,2.62E-04,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,7.30E-04,1.28E-02,1.73E+00,4.24E-03,-1.03E+00,3.98E-01,6.30E+00,-3.76E+00,-2.88E+00,-1.00E+01,-1.03E+01,-1.04E+01
time,3.20E-01,3.21E-01,4.59E-01,3.17E-01,3.22E-01,3.34E-01,3.42E-01,3.30E-01,3.24E-01,3.27E-01,3.32E-01,3.84E-01,3.64E-01,6.38E-01,5.64E-01,3.11E-01,3.05E-01,3.24E-01,9.75E-01,9.82E-01,6.98E-01,8.29E-01,1.06E+00
worst,0.00E+00,9.12E-184,0.00E+00,7.07E-194,2.00E+00,0.00E+00,1.09E-03,-1.23E+04,0.00E+00,4.44E-16,0.00E+00,4.05E-03,1.76E-01,1.08E+01,2.34E-02,-1.03E+00,3.98E-01,3.27E+01,-3.09E+00,-1.35E+00,-8.00E+00,-9.33E+00,-9.46E+00
best,0.00E+00,1.72E-231,0.00E+00,1.01E-226,9.63E-09,0.00E+00,2.25E-05,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,5.87E-08,1.00E-06,9.98E-01,3.19E-04,-1.03E+00,3.98E-01,3.00E+00,-3.86E+00,-3.28E+00,-1.02E+01,-1.04E+01,-1.05E+01
std,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E-01,0.00E+00,2.28E-04,3.32E+01,0.00E+00,0.00E+00,0.00E+00,1.10E-03,2.88E-02,1.71E+00,6.95E-03,1.89E-05,6.72E-05,8.94E+00,1.86E-01,3.43E-01,3.37E-01,2.32E-01,2.38E-01
