EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0,3.48E-234,0,2.40E-232,0.19074183,0,0.000237582,-12569.43679,0,4.44E-16,0,0.000609319,0.010850761,1.752058282,0.002894623,-1.031621673,0.424707199,5.161941474,-3.760460799,-2.962255752,-9.977782805,-10.24847604,-10.41132601
time,0.461945319,0.520170217,2.582331247,0.441964426,0.5402776,0.522440195,0.568140049,0.488230886,0.508841982,0.642279973,0.655225978,1.123313513,0.933760099,0.736411204,0.682014165,0.533152838,0.481272283,0.725181651,1.021722155,1.03646657,0.822278771,0.922535944,1.0751403
worst,0,1.68E-232,0,1.20E-230,1.908905717,0,0.001039659,-12567.83179,0,4.44E-16,0,0.004483764,0.085796373,5.928845132,0.022553327,-1.031465907,0.845086848,30.08082827,-3.089657878,-2.620478511,-8.823064249,-9.609914954,-9.23210016
best,0,1.75E-274,0,8.67E-282,2.23E-05,0,1.21E-05,-12569.48662,0,4.44E-16,0,1.96E-06,2.78E-07,0.998003838,0.000329555,-1.031628453,0.39788738,3,-3.862781954,-3.212104855,-10.15319516,-10.40288855,-10.53621834
std,0,0,0,0,0.354373322,0,0.000233614,0.233656547,0,0,0,0.00088487,0.01796394,1.273233011,0.005279206,2.38E-05,0.106019312,7.331435349,0.162162196,0.158137864,0.307524166,0.195585085,0.228214266
