EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0.00E+00,3.55E-198,0.00E+00,3.10E-197,2.78E-01,0.00E+00,1.61E-04,-1.25E+04,0.00E+00,4.44E-16,0.00E+00,9.66E-04,1.10E-02,1.87E+00,2.93E-03,-1.03E+00,4.02E-01,7.87E+00,-3.78E+00,-2.92E+00,-9.93E+00,-1.02E+01,-1.04E+01
time,2.99E-01,3.02E-01,4.03E-01,3.00E-01,3.06E-01,3.20E-01,3.20E-01,3.06E-01,3.06E-01,3.13E-01,3.14E-01,3.48E-01,3.42E-01,5.70E-01,5.26E-01,3.08E-01,3.07E-01,3.23E-01,8.60E-01,8.58E-01,6.24E-01,7.49E-01,9.38E-01
worst,0.00E+00,1.51E-196,0.00E+00,1.51E-195,4.54E+00,0.00E+00,7.34E-04,-1.15E+04,0.00E+00,4.44E-16,0.00E+00,5.81E-03,9.69E-02,1.08E+01,2.14E-02,-1.03E+00,5.87E-01,3.03E+01,-3.09E+00,-1.93E+00,-7.13E+00,-8.99E+00,-9.28E+00
best,0.00E+00,9.14E-231,0.00E+00,3.09E-229,1.92E-04,0.00E+00,8.59E-07,-1.26E+04,0.00E+00,4.44E-16,0.00E+00,1.58E-06,1.88E-05,9.98E-01,3.14E-04,-1.03E+00,3.98E-01,3.00E+00,-3.86E+00,-3.29E+00,-1.02E+01,-1.04E+01,-1.05E+01
std,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.12E-01,0.00E+00,1.59E-04,1.51E+02,0.00E+00,0.00E+00,0.00E+00,1.35E-03,1.91E-02,1.65E+00,5.17E-03,3.93E-06,2.65E-02,1.04E+01,1.29E-01,2.27E-01,5.27E-01,2.59E-01,2.50E-01
