EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
247,9.92E-164,4.07E-87,6.05E-165,4.42E-85,0.309443248,0,0.000500024,-12564.44583,0.00E+00,4.44E-16,0,1.76E-03,0.02324989,2.51523414,0.005666296,-1.031576129,0.398139994,6.303769422,-3.752156104,-2.784988315,-9.775424035,-10.02390587,-10.15999659
248,9.92E-164,8.31E-88,1.17E-165,3.59E-85,0.309433771,0,0.000496709,-12564.44612,0.00E+00,4.44E-16,0,1.76E-03,0.023226848,2.515124639,0.005666159,-1.031576152,0.398139521,6.303767528,-3.752162706,-2.78524092,-9.775426959,-10.02390615,-10.16429027
249,9.92E-164,8.25E-88,1.09E-165,7.08E-86,0.309422992,0,0.000496709,-12564.44612,0.00E+00,4.44E-16,0,1.75E-03,0.023226846,2.515124638,0.005657444,-1.031576638,0.39813838,6.303765294,-3.752200903,-2.785275981,-9.775441611,-10.02390707,-10.16443674
250,8.41E-166,4.14E-88,4.34E-166,2.97E-86,0.309422918,0,0.000496709,-12564.44741,0.00E+00,4.44E-16,0,1.75E-03,0.023223476,2.515094188,0.005650141,-1.031576713,0.398138288,6.303765165,-3.752204952,-2.785707226,-9.775444959,-10.02393294,-10.16808911
251,8.41E-166,8.46E-90,3.96E-166,1.38E-87,0.309422686,0,0.000496709,-12564.44741,0.00E+00,4.44E-16,0,1.53E-03,0.023215631,2.515094125,0.005649171,-1.03157679,0.398133672,6.303751557,-3.752288137,-2.785776849,-9.775446161,-10.02393298,-10.16956386
252,8.41E-166,4.77E-90,1.97E-166,1.38E-87,0.309346787,0,0.000496709,-12564.44741,0.00E+00,4.44E-16,0,1.53E-03,0.023215518,2.505313751,0.00564912,-1.031577406,0.398133555,6.303695993,-3.752303454,-2.785949311,-9.775713732,-10.02393313,-10.18403196
253,2.18E-166,4.49E-91,1.10E-168,2.03E-88,0.30934214,0,0.000496709,-12564.44741,0.00E+00,4.44E-16,0,1.41E-03,0.023214726,2.505313744,0.005649035,-1.031577417,0.398125636,6.303693839,-3.752307454,-2.78690839,-9.775715328,-10.02675947,-10.18403231
254,2.00E-166,2.23E-91,6.52E-169,1.02E-88,0.309271167,0,0.000496709,-12564.44741,0.00E+00,4.44E-16,0,1.41E-03,0.023211068,2.505279943,0.005643602,-1.03157743,0.398124745,6.303681829,-3.752316042,-2.787355024,-9.775717244,-10.03406598,-10.18408986
255,5.19E-167,7.11E-92,1.00E-169,2.26E-89,0.309271023,0,0.000496709,-12564.44741,0.00E+00,4.44E-16,0,1.39E-03,0.023197724,2.500312975,0.005642709,-1.031580284,0.398124743,6.303681526,-3.752316729,-2.788635707,-9.775767975,-10.03569134,-10.18409011
256,1.07E-168,1.61E-92,1.39E-171,1.03E-89,0.309268138,0,0.000496709,-12564.44785,0.00E+00,4.44E-16,0,1.39E-03,0.023196901,2.500312948,0.005642394,-1.031580362,0.39812473,6.303681388,-3.752316745,-2.790292172,-9.775768991,-10.03574569,-10.18411335
257,2.42E-170,1.56E-92,1.13E-173,9.03E-90,0.25967075,0,0.000496709,-12564.4484,0.00E+00,4.44E-16,0,1.36E-03,0.023175578,2.488926155,0.005640581,-1.031580566,0.398124159,6.303576186,-3.752317106,-2.792448744,-9.77576955,-10.0487023,-10.18413561
258,1.57E-171,5.63E-93,6.22E-174,4.48E-91,0.2596621,0,0.000496709,-12564.4484,0.00E+00,4.44E-16,0,1.36E-03,0.023165041,2.480462519,0.005640302,-1.031580596,0.398121974,6.30357618,-3.752317141,-2.792535676,-9.775793568,-10.04906088,-10.18415165
259,4.98E-172,3.87E-93,3.87E-174,4.48E-91,0.258692598,0,0.000494991,-12564.44841,0.00E+00,4.44E-16,0,1.34E-03,0.023157794,2.465760609,0.005631921,-1.031580641,0.398120682,6.303555017,-3.752317377,-2.792885849,-9.775801425,-10.04951975,-10.18419748
260,1.41E-172,5.70E-94,1.57E-174,2.24E-91,0.258692472,0,0.000494991,-12564.44842,0.00E+00,4.44E-16,0,1.32E-03,0.022874881,2.464625726,0.005631617,-1.031580712,0.398120509,6.303554088,-3.752317652,-2.79332248,-9.775801444,-10.04952207,-10.1842027
261,1.16E-174,2.96E-94,6.33E-176,1.37E-91,0.258691136,0,0.000494991,-12564.44842,0.00E+00,4.44E-16,0,1.32E-03,0.022866048,2.464625637,0.005631545,-1.031580785,0.398119999,6.303554063,-3.752320426,-2.794230746,-9.775802005,-10.04953839,-10.1846278
262,8.65E-176,2.48E-94,5.83E-176,8.02E-92,0.258635191,0,0.000494991,-12564.44842,0.00E+00,4.44E-16,0,1.32E-03,0.022865873,2.446695298,0.005631414,-1.031580787,0.398119984,6.303554059,-3.752320871,-2.794439774,-9.775832286,-10.04998862,-10.18462822
263,1.03E-176,4.31E-95,1.51E-176,7.62E-92,0.258494998,0,0.000493248,-12564.44842,0.00E+00,4.44E-16,0,1.32E-03,0.022856177,2.445596369,0.005615354,-1.03158079,0.398114043,6.30345333,-3.752331239,-2.794473297,-9.775834739,-10.04998872,-10.1846681
264,1.28E-179,2.22E-95,8.52E-177,3.89E-92,0.25849322,0,0.000493248,-12564.44845,0.00E+00,4.44E-16,0,1.32E-03,0.022792319,2.44554564,0.005613702,-1.031580874,0.398114043,6.303453149,-3.752335785,-2.794653236,-9.775864858,-10.05037051,-10.184709
265,1.28E-179,2.16E-95,4.77E-177,6.33E-93,0.25848515,0,0.000487269,-12564.44845,0.00E+00,4.44E-16,0,1.32E-03,0.022792143,2.445545633,0.005609872,-1.031582251,0.398113876,6.303452554,-3.752337348,-2.794689935,-9.79244494,-10.0503917,-10.18519255
